currency pair id,last trade price,lowest ask,highest bid,percent change in last 24 hours,base currency volume in last 24 hours,quote currency volume in last 24 hours,is frozen,highest trade price in last 24 hours,lowest trade price in last 24 hours,post only,maintenance mode,timestamp
121,35996.62084174,36002.29849265,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409277.180776
121,35996.62084174,36002.29850264,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409277.8808198
121,35996.62084174,36002.29850265,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409278.4770103
149,2423.37951485,2427.37909858,2426.82061784,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409278.4772193
121,35996.62084174,36002.29849264,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409279.0759842
149,2423.37951485,2427.37909858,2426.94199283,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409279.776957
121,35996.62084174,36002.29850263,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409280.4951158
149,2423.37951485,2427.37909858,2427.06335086,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409280.4953125
149,2427.37909858,2427.37909858,2427.06335086,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409281.7783859
121,35996.62084174,36002.29849263,35996.62084174,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409282.3796356
121,35996.62084174,36002.29850265,35996.62084174,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409283.0933552
121,35996.62084174,36002.29850262,35996.62084174,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409283.695735
149,2427.37909858,2427.37909858,2426.82062784,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409284.297398
121,35996.62084174,36002.29849262,35996.62084174,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409284.9027517
149,2427.37909858,2427.37909858,2426.94198283,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409285.0067556
121,35996.62084174,36002.29850265,35996.62084174,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409285.6048048
121,35996.62084174,36002.29850261,35996.62084174,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409286.203312
121,35996.62084174,36000.96850631,35996.62084174,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409286.935063
149,2427.37909858,2427.28335579,2426.42930285,0.07931622,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409286.9354596
121,35996.62084174,36000.96850631,35989.65502420,0.04908234,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409287.639087
